nohup: ignoring input
2025-07-17 08:39:08,113		[33;36mINFO[0m	viam.rpc.dial (dial.py:336)	Connecting to socket: /tmp/proxy-EcjVjTCA.sock	
Resources:
[<viam.proto.common.ResourceName rdk:component:board/local at 0x7fb4b44d60>, <viam.proto.common.ResourceName rdk:component:sensor/sensor at 0x7fb4d7e020>, <viam.proto.common.ResourceName rdk:service:motion/builtin at 0x7fb34ac310>]
09:48 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:49 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:50 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:51 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:52 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:53 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:54 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:55 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
09:56 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:57 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:58 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:59 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
10:00 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:01 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:02 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:03 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:04 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
10:05 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:06 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:07 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:08 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:09 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:10 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:11 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:12 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:13 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:14 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:15 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:16 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:17 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:18 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:19 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:20 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:21 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:22 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
10:23 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:24 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:25 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:26 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:27 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:28 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:29 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:30 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
10:31 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
10:32 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:33 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:34 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:35 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:36 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:37 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:38 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:39 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:40 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:41 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:42 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:43 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:44 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
10:45 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:46 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
10:47 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:48 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:49 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:50 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:51 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:52 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:53 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:54 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:55 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
10:56 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:57 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:58 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
10:59 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:00 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:01 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
11:02 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:03 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:04 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:05 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:06 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:07 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:08 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:09 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:10 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:11 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:12 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:13 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:14 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:15 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:16 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:17 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:18 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:19 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:20 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:21 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:22 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:23 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:24 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:25 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:26 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:27 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:28 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:29 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:30 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:31 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:32 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:33 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:34 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:35 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:36 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:37 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:38 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:39 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:40 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
11:41 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:42 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:43 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:44 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:45 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:46 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:47 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:48 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:49 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:50 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:51 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:52 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:53 - waiting before we test for moisture again, current moisture: 221.0, DRY: 600
11:54 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
11:55 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
11:56 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
11:57 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:58 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
11:59 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:00 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:01 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:02 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:03 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:04 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:05 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:06 - waiting before we test for moisture again, current moisture: 220.0, DRY: 600
12:07 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:08 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:09 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:10 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:11 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:12 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:13 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:14 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:15 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:16 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:17 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:18 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:19 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:20 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:21 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:22 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:23 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
12:24 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:25 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:26 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:27 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:28 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:29 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:30 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:31 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:32 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
12:33 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:34 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:35 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:36 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:37 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:38 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
12:39 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:40 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
12:41 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:42 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:43 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
12:44 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
12:45 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:46 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:47 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:48 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:49 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:50 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:51 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:52 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
12:53 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:54 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
12:55 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
12:56 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
12:57 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
12:58 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
12:59 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:00 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:01 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
13:02 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:03 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:04 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:05 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:06 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:07 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:08 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:09 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:10 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:11 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:12 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:13 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:14 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:15 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:16 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:17 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:18 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:19 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:20 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:21 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:22 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:23 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:24 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:25 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
13:26 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
13:27 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:28 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:29 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:30 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:31 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:32 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
13:33 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:34 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:35 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:36 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
13:37 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:38 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:39 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:40 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:41 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:42 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:43 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:44 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:45 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:46 - waiting before we test for moisture again, current moisture: 230.0, DRY: 600
13:47 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:48 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:49 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
13:50 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:51 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:52 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:53 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
13:54 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:55 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:56 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
13:57 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
13:58 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
13:59 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:00 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:01 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
14:02 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:03 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
14:04 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
14:05 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:06 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:07 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:08 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:09 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:10 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:11 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:12 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:13 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:14 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:15 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:16 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:17 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:18 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:19 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:20 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:21 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:22 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:23 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:24 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:25 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:26 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:27 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:28 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:29 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:30 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:31 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:32 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:33 - waiting before we test for moisture again, current moisture: 230.0, DRY: 600
14:34 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:35 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:36 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:37 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:38 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:39 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:40 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
14:41 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
14:42 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:43 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:44 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:45 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:46 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:47 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:48 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
14:49 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:50 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:51 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:52 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:53 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
14:54 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
14:55 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:56 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
14:57 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
14:58 - waiting before we test for moisture again, current moisture: 230.0, DRY: 600
14:59 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:00 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
15:01 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
15:02 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
15:03 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:04 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
15:05 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:06 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
15:07 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:08 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
15:09 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
15:10 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
15:11 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
15:12 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
15:13 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:14 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
15:15 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
